model,intercept,slope,log_lik
116,-2.99,0.026000000000000002,-309.61736235722134
117,-2.99,0.028,-301.44403392236336
118,-2.99,0.03,-293.3032585355035
119,-2.99,0.032,-285.19771875058854
120,-2.99,0.034,-277.130325281109
121,-2.99,0.036000000000000004,-269.1042369704518
122,-2.99,0.038,-261.12288255539045
123,-2.99,0.04,-253.18998438737268
124,-2.99,0.042,-245.30958429168092
125,-2.99,0.044,-237.48607176143162
126,-2.99,0.046,-229.7242147018772
127,-2.99,0.048,-222.02919296074188
128,-2.99,0.05,-214.406634902525
129,-2.99,0.052000000000000005,-206.86265730903807
130,-2.99,0.054,-199.403908915104
131,-2.99,0.056,-192.03761791757037
132,-2.99,0.058,-184.77164382782183
133,-2.99,0.06,-177.61453407309037
134,-2.99,0.062,-170.5755857903628
135,-2.99,0.064,-163.66491329889735
136,-2.99,0.066,-156.89352178365263
137,-2.99,0.068,-150.27338777269995
138,-2.99,0.07,-143.81754704737477
139,-2.99,0.07200000000000001,-137.540190685004
140,-2.99,0.074,-131.45677000105687
141,-2.99,0.076,-125.5841112310889
142,-2.99,0.078,-119.94054087352315
143,-2.99,0.08,-114.54602270284256
144,-2.99,0.082,-109.42230755993234
145,-2.99,0.084,-104.59309713295787
146,-2.99,0.08600000000000001,-100.0842230592334
147,-2.99,0.088,-95.92384280705872
148,-2.99,0.09,-92.14265393761062
149,-2.99,0.092,-88.77412850191986
150,-2.99,0.094,-85.8547694981157
151,-2.99,0.096,-83.42439150098954
152,-2.99,0.098,-81.52642778117932
153,-2.99,0.1,-80.20826645673388
154,-2.985,0,-417.3909837462349
155,-2.985,0.002,-408.96321532254524
156,-2.985,0.004,-400.54733341850863
157,-2.985,0.006,-392.14428646286416
158,-2.985,0.008,-383.7551011258608
159,-2.985,0.01,-375.38088897738805
160,-2.985,0.012,-367.02285372788054
161,-2.985,0.014,-358.68229910430193
162,-2.985,0.016,-350.36063741831276
163,-2.985,0.018000000000000002,-342.05939888897467
164,-2.985,0.02,-333.78024178808494
165,-2.985,0.022,-325.52496348251105
166,-2.985,0.024,-317.2955124547678
167,-2.985,0.026000000000000002,-309.09400139058926
168,-2.985,0.028,-300.9227214304762
169,-2.985,0.03,-292.78415769119346
170,-2.985,0.032,-284.6810061730452
171,-2.985,0.034,-276.6161921795343
172,-2.985,0.036000000000000004,-268.5928903878159
173,-2.985,0.038,-260.61454672127815
174,-2.985,0.04,-252.6849021897331
175,-2.985,0.042,-244.80801887819663
176,-2.985,0.044,-236.98830828221105
177,-2.985,0.046,-229.23056220625332
178,-2.985,0.048,-221.5399864621424
179,-2.985,0.05,-213.92223762667209
180,-2.985,0.052000000000000005,-206.38346314215033
181,-2.985,0.054,-198.930345070322
182,-2.985,0.056,-191.5701478395222
183,-2.985,0.058,-184.3107703571003
184,-2.985,0.06,-177.16080289444562
185,-2.985,0.062,-170.129589190638
186,-2.985,0.064,-163.22729426317198
187,-2.985,0.066,-156.4649784607253
188,-2.985,0.068,-149.85467834396604
189,-2.985,0.07,-143.40949503635562
190,-2.985,0.07200000000000001,-137.14369074829196
191,-2.985,0.074,-131.0727942452854
192,-2.985,0.076,-125.2137161047482
193,-2.985,0.078,-119.58487468705904
194,-2.985,0.08,-114.20633383553687
195,-2.985,0.082,-109.09995341761056
196,-2.985,0.084,-104.28955392665183
197,-2.985,0.08600000000000001,-99.80109648159579
198,-2.985,0.088,-95.66287969063941
199,-2.985,0.09,-91.90575498712525
200,-2.985,0.092,-88.56336220143807
201,-2.985,0.094,-85.67238730374663
202,-2.985,0.096,-83.27284444022904
203,-2.985,0.098,-81.40838459169827
204,-2.985,0.1,-80.12663341013337
205,-2.98,0,-416.85137028918126
206,-2.98,0.002,-408.424374954485
207,-2.98,0.004,-400.0093257208696
208,-2.98,0.006,-391.6071757710928
209,-2.98,0.008,-383.2189569216096
210,-2.98,0.01,-374.845786314077
211,-2.98,0.012,-366.4888736925531
212,-2.98,0.014,-358.1495293189603
213,-2.98,0.016,-349.82917258420053
214,-2.98,0.018000000000000002,-341.52934137759064
215,-2.98,0.02,-333.2517022830498
216,-2.98,0.022,-324.9980616767845
217,-2.98,0.024,-316.7703778081186
218,-2.98,0.026000000000000002,-308.5707739526677
219,-2.98,0.028,-300.4015527353219
220,-2.98,0.03,-292.2652117295458
221,-2.98,0.032,-284.16446044940136
222,-2.98,0.034,-276.1022388615362
223,-2.98,0.036000000000000004,-268.08173755624085
224,-2.98,0.038,-260.1064197296665
225,-2.98,0.04,-252.18004514351483
226,-2.98,0.042,-244.30669624408762
227,-2.98,0.044,-236.49080663964054
228,-2.98,0.046,-228.73719215367052
229,-2.98,0.048,-221.05108469223683
230,-2.98,0.05,-213.4381691858424
231,-2.98,0.052000000000000005,-205.90462389097806
232,-2.98,0.054,-198.4571643633625
233,-2.98,0.056,-191.1030914444294
234,-2.98,0.058,-183.85034363496598
235,-2.98,0.06,-176.70755426527606
236,-2.98,0.062,-169.6841139101266
237,-2.98,0.064,-162.7902385393743
238,-2.98,0.066,-156.03704394192533
239,-2.98,0.068,-149.43662701195933
240,-2.98,0.07,-143.00215454259222
241,-2.98,0.07200000000000001,-136.74796023384908
242,-2.98,0.074,-130.68965068950132
243,-2.98,0.076,-124.84422125158319
244,-2.98,0.078,-119.23018260288899
245,-2.98,0.08,-113.8676991571708
246,-2.98,0.082,-108.77874035489897
247,-2.98,0.084,-103.98724609016514
248,-2.98,0.08600000000000001,-99.51930761255461
249,-2.98,0.088,-95.40336537762823
250,-2.98,0.09,-91.67042546218171
251,-2.98,0.092,-88.35429631695133
252,-2.98,0.094,-85.49184780129659
253,-2.98,0.096,-83.12329463313796
254,-2.98,0.098,-81.29250659474029
255,-2.98,0.1,-80.04734806265662
256,-2.975,0,-416.31180889489076
257,-2.975,0.002,-407.88559052431265
258,-2.975,0.004,-399.4713781348962
259,-2.975,0.006,-391.0701296872477
260,-2.975,0.008,-382.68288216982376
261,-2.975,0.01,-374.31075832397687
262,-2.975,0.012,-365.9549739576328
263,-2.975,0.014,-357.6168459004289
264,-2.975,0.016,-349.29780065799395
265,-2.975,0.018000000000000002,-340.9993838283468
266,-2.975,0.02,-332.7232703491934
267,-2.975,0.022,-324.47127565123856
268,-2.975,0.024,-316.2453677995718
269,-2.975,0.026000000000000002,-308.047680712772
270,-2.975,0.028,-299.88052855768456
271,-2.975,0.03,-291.7464214269132
272,-2.975,0.032,-283.6480824160156
273,-2.975,0.034,-275.5884662282835
274,-2.975,0.036000000000000004,-267.5707794469079
275,-2.975,0.038,-259.5985026273829
276,-2.975,0.04,-251.67541437729406
277,-2.975,0.042,-243.80561760629053
278,-2.975,0.044,-235.99356814618173
279,-2.975,0.046,-228.24410595988041
280,-2.975,0.048,-220.56248917848407
281,-2.975,0.05,-212.9544312283284
282,-2.975,0.052000000000000005,-205.42614133454364
283,-2.975,0.054,-197.98436871471176
284,-2.975,0.056,-190.6364508058863
285,-2.975,0.058,-183.39036590075537
286,-2.975,0.06,-176.25479060437095
287,-2.975,0.062,-169.23916256195193
288,-2.975,0.064,-162.353748951117
289,-2.975,0.066,-155.60972127889613
290,-2.975,0.068,-149.0192370754033
291,-2.975,0.07,-142.59552913257963
292,-2.975,0.07200000000000001,-136.35300299842055
293,-2.975,0.074,-130.3073435051244
294,-2.975,0.076,-124.47563118423194
295,-2.975,0.078,-118.87646950372105
296,-2.975,0.08,-113.5301239518884
297,-2.975,0.082,-108.45867409148292
298,-2.975,0.084,-103.6861798158148
299,-2.975,0.08600000000000001,-99.2388631574021
300,-2.975,0.088,-95.14530713018243
301,-2.975,0.09,-91.43667322955821
302,-2.975,0.092,-88.14693937183029
303,-2.975,0.094,-85.31316022729725
304,-2.975,0.096,-82.975752090992
305,-2.975,0.098,-81.1788046433781
