replicate,risk_novax
1,0.0118
2,0.011733333333333333
3,0.0114
4,0.012066666666666667
5,0.011666666666666667
6,0.010466666666666668
7,0.014533333333333334
8,0.0116
9,0.011466666666666667
10,0.012533333333333334
11,0.012866666666666667
12,0.0114
13,0.012066666666666667
14,0.012466666666666666
15,0.0116
16,0.014133333333333333
17,0.011666666666666667
18,0.013733333333333334
19,0.012133333333333333
20,0.011933333333333334
21,0.011666666666666667
22,0.013333333333333332
23,0.012133333333333333
24,0.012933333333333333
25,0.013
26,0.0132
27,0.0128
28,0.0118
29,0.013066666666666667
30,0.012666666666666666
31,0.012
32,0.0118
33,0.011933333333333334
34,0.012733333333333333
35,0.013333333333333334
36,0.0114
37,0.012866666666666667
38,0.013133333333333334
39,0.013
40,0.013
41,0.0128
42,0.0128
43,0.0128
44,0.012866666666666667
45,0.012866666666666667
46,0.013733333333333334
47,0.013266666666666666
48,0.0124
49,0.014
50,0.0124
51,0.011266666666666666
52,0.013933333333333334
53,0.0114
54,0.013333333333333334
55,0.0124
56,0.011266666666666666
57,0.0102
58,0.0126
59,0.0116
60,0.011466666666666667
61,0.013666666666666667
62,0.014866666666666667
63,0.013066666666666667
64,0.013
65,0.010933333333333333
66,0.011933333333333334
67,0.0114
68,0.0122
69,0.012466666666666666
70,0.0128
71,0.013
72,0.010733333333333333
73,0.013866666666666666
74,0.0124
75,0.012066666666666667
76,0.0128
77,0.011333333333333334
78,0.0128
79,0.014533333333333334
80,0.013266666666666666
81,0.0122
82,0.0122
83,0.0124
84,0.0122
85,0.013466666666666667
86,0.013933333333333332
87,0.012866666666666667
88,0.014466666666666666
89,0.012066666666666667
90,0.0134
91,0.014199999999999999
92,0.010466666666666668
93,0.011466666666666667
94,0.014733333333333333
95,0.013533333333333333
96,0.013533333333333333
97,0.0116
98,0.0114
99,0.013733333333333334
100,0.0108
101,0.0122
102,0.012933333333333333
103,0.012266666666666667
104,0.0118
105,0.012533333333333334
106,0.0128
107,0.012866666666666667
108,0.0122
109,0.0116
110,0.011866666666666666
111,0.012
112,0.0116
113,0.0116
114,0.012866666666666667
115,0.0116
116,0.0114
117,0.012133333333333333
118,0.0126
119,0.012333333333333333
120,0.012333333333333333
121,0.012533333333333334
122,0.011866666666666666
123,0.0122
124,0.012866666666666667
125,0.012066666666666667
126,0.010866666666666667
127,0.0128
128,0.010866666666666667
129,0.011066666666666667
130,0.010666666666666666
131,0.012866666666666667
132,0.012666666666666666
133,0.0124
134,0.0126
135,0.013733333333333334
136,0.0116
137,0.0126
138,0.013266666666666666
139,0.012133333333333333
140,0.0118
141,0.012333333333333333
142,0.012333333333333333
143,0.014066666666666667
144,0.012066666666666667
145,0.013933333333333334
146,0.012733333333333333
147,0.0132
148,0.013
149,0.013666666666666667
150,0.012333333333333333
151,0.012866666666666667
152,0.0138
153,0.010933333333333333
154,0.0132
155,0.013533333333333333
156,0.013066666666666667
157,0.011466666666666667
158,0.011333333333333334
159,0.012733333333333333
160,0.012266666666666667
161,0.013533333333333333
162,0.012733333333333333
163,0.010866666666666667
164,0.0114
165,0.011333333333333334
166,0.013133333333333334
167,0.012266666666666667
168,0.0128
169,0.010933333333333333
170,0.010866666666666667
171,0.0114
172,0.011066666666666667
173,0.012933333333333333
174,0.0116
175,0.012733333333333333
176,0.0124
177,0.0108
178,0.013133333333333334
179,0.0124
180,0.011266666666666666
181,0.012733333333333333
182,0.012466666666666666
183,0.0128
184,0.012333333333333333
185,0.0118
186,0.011933333333333334
187,0.011866666666666666
188,0.0112
189,0.012533333333333334
190,0.0118
191,0.012266666666666667
192,0.0118
193,0.011466666666666667
