model,intercept,slope,log_lik
273,-1.95,0.20000000000000007,-182.09128017670977
274,-1.95,0.20999999999999996,-189.16949257184768
275,-1.95,0.21999999999999997,-196.60023443927597
276,-1.95,0.22999999999999998,-204.36001377232202
277,-1.95,0.24,-212.42614564843186
278,-1.95,0.25,-220.77697275505915
279,-1.95,0.26,-229.39199951001294
280,-1.95,0.27,-238.25195951782342
281,-1.95,0.28,-247.33883383205782
282,-1.95,0.29000000000000004,-256.6358344778071
283,-1.95,0.30000000000000004,-266.1273646030999
284,-1.95,0.31000000000000005,-275.7989638499749
285,-1.95,0.32000000000000006,-285.6372452255339
286,-1.95,0.33000000000000007,-295.6298279340037
287,-1.95,0.33999999999999997,-305.76526925356467
288,-1.95,0.35,-316.03299752838996
289,-1.95,0.36,-326.42324761586707
290,-1.95,0.37,-336.92699960982253
291,-1.95,0.38,-347.53592129538663
292,-1.95,0.39,-358.242314536613
293,-1.95,0.4,-369.0390656224803
294,-1.95,0.41000000000000003,-379.91959947824154
295,-1.95,0.42000000000000004,-390.8778375713205
296,-1.95,0.43000000000000005,-401.90815929303045
297,-1.95,0.44000000000000006,-413.005366571214
298,-1.95,0.45000000000000007,-424.164651458537
299,-1.95,0.45999999999999996,-435.3815664422057
300,-1.95,0.47,-446.6519972296302
301,-1.95,0.48,-457.97213777878306
302,-1.95,0.49,-469.3384673590335
303,-1.95,0.5,-480.7477294471311
304,-1.925,-0.5,-290.8628816788308
305,-1.925,-0.49,-287.37487762386104
306,-1.925,-0.48,-283.8886609813219
307,-1.925,-0.47,-280.4043424267159
308,-1.925,-0.46,-276.92204277113404
309,-1.925,-0.45,-273.4418940679368
310,-1.925,-0.44,-269.96404085470016
311,-1.925,-0.43,-266.4886415487211
312,-1.925,-0.42,-263.015870017094
313,-1.925,-0.41000000000000003,-259.54591734550735
314,-1.925,-0.4,-256.0789938335608
315,-1.925,-0.39,-252.6153312486387
316,-1.925,-0.38,-249.15518537529906
317,-1.925,-0.37,-245.69883890286349
318,-1.925,-0.36,-242.24660470056122
319,-1.925,-0.35,-238.79882953733525
320,-1.925,-0.33999999999999997,-235.35589831245943
321,-1.925,-0.32999999999999996,-231.91823887363827
322,-1.925,-0.32,-228.486327511522
323,-1.925,-0.31,-225.0606952338436
324,-1.925,-0.3,-221.64193493899703
325,-1.925,-0.29000000000000004,-218.23070962819136
326,-1.925,-0.28,-214.82776181774864
327,-1.925,-0.27,-211.4339243391179
328,-1.925,-0.26,-208.05013274426096
329,-1.925,-0.25,-204.6774395687557
330,-1.925,-0.24,-201.3170307448195
331,-1.925,-0.22999999999999998,-197.9702445020092
332,-1.925,-0.21999999999999997,-194.6385931450954
333,-1.925,-0.21000000000000002,-191.32378815687292
334,-1.925,-0.2,-188.02776913856033
